year,xpert_sites,xpert_machines,xpert_modules,total_genex_results,mtb_positive_percent,xpert_total_tests_public,mtb_positive_percent_public,xpert_total_tests_private,mtb_positive_percent_private,yearly_utilization_percent,,
2011,10,11,40,"91,871",62%,,,,,,,
2012,13,14,56,"148,964",64%,,,,,,,
2013,25,27,108,"176,473",50%,,,,,,,
2014,33,40,160,"56,252",34%,"30,158",46.90%,"26,094",18.50%,,,
2015,40,48,204,"90,635",25%,"43,940",40.20%,"46,695",11.10%,,,
2016,52,60,300,"127,791",28%,"66,770",43.00%,"61,021",11.90%,,,
2017,106,128,980,"280,049",20%,"144,878",31.10%,"135,171",10.20%,18%,,
2018,251,286,1864,"350,457",21%,"226,390",26.20%,"138,730",9.70%,19%,,
2019,327,361,2236,"452,934",19%,"299,229",23.50%,"115,342",9.70%,22%,,
2020,356,379,2336,"319,900",19%,"231,705",29.60%,"88,195",11.90%,35.40%,,
2021,369,388,2356,"341,558",26%,"337,898",31.40%,"28,998",3.40%,20.10%,,
2022,404,427,2534,"669,832",22%,"585,576",22.60%,"84,256",16.80%,14.50%,,
