,Country,Savings,Perc. TGF Fund,Perc. Total Fund,Perc. Gap,Perc. Diagnosis Gap
0,Angola,153882.0,0.054,0.008,0.016,0.417
1,Armenia,16026.0,,0.022,,
2,Azerbaijan,136800.0,0.064,0.008,No Gap,No Gap
3,Bangladesh,1543800.0,0.027,0.008,0.032,0.046
4,Belarus,177786.0,,,,
5,Bhutan,17000.0,0.026,0.01,0.02,0.251
6,Burkina Faso,166867.0,0.045,0.045,No Gap,No Gap
7,Cambodia,747000.0,0.107,0.021,0.045,0.258
8,Central African Republic,0.0,0.0,0.0,0.0,0.0
9,Congo,75717.0,0.066,0.018,No Gap,No Gap
10,Cuba,222471.0,,,,
11,Djibouti,64218.0,,,,
12,Eritrea,144100.0,0.085,0.038,0.069,0.125
13,Ethiopia,1832982.0,0.091,0.014,0.025,0.167
14,Gambia,66375.0,0.061,0.054,0.559,No Gap
15,Georgia,107440.0,,,,
16,Guatemala,16766.0,0.011,0.002,0.031,0.065
17,Guinea-Bissau,84162.0,0.051,0.026,0.058,0.289
18,Kazakhstan,58800.0,0.014,0.0,No Gap,No Gap
19,Kenya,2676003.0,0.106,0.04,0.124,93.783
20,Malawi,418650.0,0.063,0.012,0.034,0.13
21,Moldova,0.0,,,,
22,Mongolia,19600.0,0.006,0.001,No Gap,No Gap
23,Myanmar,1008830.0,0.022,0.01,0.029,0.085
24,Nicaragua,70686.0,,,,
25,Peru,83166.0,0.014,0.001,0.009,0.156
26,Philippines,484012.0,0.012,0.001,0.002,0.002
27,Senegal,309756.0,0.206,0.031,0.054,0.146
28,Somalia,317600.0,0.024,0.024,No Gap,No Gap
29,South Sudan,138910.0,0.026,0.026,No Gap,No Gap
30,Tajikistan,157009.0,0.029,0.008,0.05,0.205
31,Thailand,1131883.0,0.184,0.04,No Gap,No Gap
32,Ukraine,1079505.0,0.029,0.01,0.054,No Gap
33,Viet Nam,1344600.0,0.033,0.009,0.012,0.05
34,Zimbabwe,681513.0,0.118,0.039,0.565,0.57
